time,n_maps,n_reduces,n_shuffles
18.16300,34,0,64
18.21100,35,0,64
18.26000,36,0,64
18.30900,37,0,64
18.35800,38,0,64
18.40700,39,0,64
18.45500,40,0,64
18.50400,41,0,64
18.55300,42,0,64
18.60200,43,0,64
18.63400,43,0,64
18.65000,43,0,64
18.68300,43,0,64
18.69900,43,0,64
18.73200,43,0,64
18.74800,43,0,64
18.78100,43,0,64
18.79700,43,0,64
18.82900,43,0,64
18.84600,43,0,64
18.87800,43,0,64
18.89600,42,0,64
18.91200,42,0,64
18.94500,42,0,64
18.97600,42,0,64
19.00800,42,0,64
19.04100,42,0,64
19.07300,42,0,64
19.09100,41,0,64
19.10800,41,0,64
19.14000,41,0,64
19.17100,41,0,64
19.20300,41,0,64
19.23600,41,0,64
19.26800,41,0,64
19.28600,40,0,64
19.30300,40,0,64
19.33500,40,0,64
19.36600,40,0,64
19.40000,40,0,64
19.43100,40,0,64
19.46500,40,0,64
19.49600,40,0,64
19.53000,40,0,64
19.56100,40,0,64
19.59500,40,0,64
19.62600,40,0,64
19.66000,40,0,64
19.69100,40,0,64
19.72600,40,0,64
19.75600,40,0,64
19.79100,40,0,64
19.82100,40,0,64
19.85600,40,0,64
19.88600,40,0,64
19.92100,40,0,64
19.98600,39,0,64
20.05100,38,0,64
20.11600,37,0,64
20.18100,36,0,64
20.24600,35,0,64
20.31100,34,0,64
20.37600,33,0,64
21.13000,33,0,64
21.17900,34,0,64
21.22800,35,0,64
21.27600,36,0,64
21.32500,37,0,64
21.37400,38,0,64
21.42300,39,0,64
21.47200,40,0,64
21.52000,41,0,64
21.56900,42,0,64
21.61800,43,0,64
21.66700,44,0,64
21.71600,45,0,64
21.76400,46,0,64
21.81300,47,0,64
21.86200,48,0,64
21.92900,49,0,64
21.99200,50,0,64
22.05700,51,0,64
22.12400,52,0,64
22.18700,53,0,64
22.25200,54,0,64
22.31900,55,0,64
22.38200,56,0,64
22.44700,57,0,64
22.51200,58,0,64
22.57700,59,0,64
22.64300,60,0,64
22.70800,61,0,64
22.77300,62,0,64
22.83800,63,0,64
22.90300,64,0,64
24.65000,64,0,64
24.69900,63,0,64
24.74800,62,0,64
24.79700,61,0,64
24.84600,60,0,64
24.89400,59,0,64
24.92900,58,0,64
24.97700,57,0,64
25.02600,56,0,64
25.09000,55,0,64
25.12400,54,0,64
25.17300,53,0,64
25.22100,52,0,64
25.28500,51,0,64
25.31900,50,0,64
25.36800,49,0,64
25.43400,48,0,64
25.49800,47,0,64
25.56300,46,0,64
25.63000,45,0,64
25.69300,44,0,64
25.75800,43,0,64
25.82500,42,0,64
25.88800,41,0,64
25.95300,40,0,64
26.01800,39,0,64
26.08300,38,0,64
26.14800,37,0,64
26.21300,36,0,64
26.27800,35,0,64
26.34300,34,0,64
26.40900,33,0,64
27.16300,33,0,64
27.21100,34,0,64
27.26000,35,0,64
27.30900,36,0,64
27.35800,37,0,64
27.40700,38,0,64
27.45500,39,0,64
27.50400,40,0,64
27.55300,41,0,64
27.60200,42,0,64
27.65000,43,0,64
27.68300,43,0,64
27.69900,43,0,64
27.73200,43,0,64
27.74800,43,0,64
27.78100,43,0,64
27.79700,43,0,64
27.82900,43,0,64
27.84600,43,0,64
27.87800,43,0,64
27.89400,43,0,64
27.92700,43,0,64
27.94500,42,0,64
27.96100,42,0,64
27.99400,42,0,64
28.02500,42,0,64
28.05700,42,0,64
28.09000,42,0,64
28.12200,42,0,64
28.14000,41,0,64
28.15600,41,0,64
28.18900,41,0,64
28.22000,41,0,64
28.25200,41,0,64
28.28500,41,0,64
28.31700,41,0,64
28.33500,40,0,64
28.35100,40,0,64
28.38400,40,0,64
28.41500,40,0,64
28.45100,40,0,64
28.48000,40,0,64
28.51400,40,0,64
28.54500,40,0,64
