task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_51_0,MRSG_MAP,19,3.095,START,
0_52_0,MRSG_MAP,20,3.098,START,
0_56_0,MRSG_MAP,12,3.100,END,0.000
0_65_0,MRSG_MAP,21,3.101,START,
1_0_0,MRSG_REDUCE,21,3.103,START,
0_57_0,MRSG_MAP,13,3.105,END,0.000
0_55_0,MRSG_MAP,23,3.107,START,
1_1_0,MRSG_REDUCE,23,3.108,START,
0_58_0,MRSG_MAP,14,3.111,END,0.000
0_68_0,MRSG_MAP,24,3.112,START,
1_2_0,MRSG_REDUCE,24,3.113,START,
0_69_0,MRSG_MAP,25,3.116,START,
1_3_0,MRSG_REDUCE,25,3.117,START,
0_47_0,MRSG_MAP,15,3.120,END,0.000
0_48_0,MRSG_MAP,16,3.121,END,0.000
0_61_0,MRSG_MAP,17,3.122,END,0.000
0_62_0,MRSG_MAP,18,3.124,END,0.000
0_51_0,MRSG_MAP,19,3.125,END,0.000
0_52_0,MRSG_MAP,20,3.126,END,0.000
0_65_0,MRSG_MAP,21,3.127,END,0.000
0_55_0,MRSG_MAP,23,3.129,END,0.000
0_68_0,MRSG_MAP,24,3.130,END,0.000
0_69_0,MRSG_MAP,25,3.131,END,0.000
0_64_0,MRSG_MAP,0,6.004,START,
1_4_0,MRSG_REDUCE,0,6.005,START,
0_75_0,MRSG_MAP,11,6.008,START,
1_5_0,MRSG_REDUCE,11,6.009,START,
0_64_0,MRSG_MAP,0,6.012,END,0.000
0_66_0,MRSG_MAP,22,6.013,START,
1_6_0,MRSG_REDUCE,22,6.014,START,
0_75_0,MRSG_MAP,11,6.017,END,0.000
0_70_0,MRSG_MAP,26,6.018,START,
1_7_0,MRSG_REDUCE,26,6.020,START,
0_66_0,MRSG_MAP,22,6.022,END,0.000
0_59_0,MRSG_MAP,27,6.023,START,
1_8_0,MRSG_REDUCE,27,6.025,START,
0_60_0,MRSG_MAP,28,6.027,START,
1_9_0,MRSG_REDUCE,28,6.029,START,
0_70_0,MRSG_MAP,26,6.031,END,0.000
0_73_0,MRSG_MAP,29,6.033,START,
1_10_0,MRSG_REDUCE,29,6.034,START,
0_59_0,MRSG_MAP,27,6.036,END,0.000
0_74_0,MRSG_MAP,30,6.038,START,
1_11_0,MRSG_REDUCE,30,6.039,START,
0_60_0,MRSG_MAP,28,6.042,END,0.000
0_63_0,MRSG_MAP,31,6.043,START,
1_12_0,MRSG_REDUCE,31,6.044,START,
