task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_38_0,MRSG_MAP,26,3.113,END,0.000
0_27_0,MRSG_MAP,27,3.116,END,0.000
0_28_0,MRSG_MAP,28,3.118,END,0.000
0_29_0,MRSG_MAP,29,3.121,END,0.000
0_42_0,MRSG_MAP,30,3.123,END,0.000
0_53_0,MRSG_MAP,31,3.126,END,0.000
0_45_0,MRSG_MAP,1,3.129,END,0.000
0_46_0,MRSG_MAP,2,3.131,END,0.000
0_35_0,MRSG_MAP,3,3.134,END,0.000
0_36_0,MRSG_MAP,4,3.136,END,0.000
0_49_0,MRSG_MAP,5,3.139,END,0.000
0_50_0,MRSG_MAP,6,3.142,END,0.000
0_39_0,MRSG_MAP,7,3.144,END,0.000
0_40_0,MRSG_MAP,8,3.147,END,0.000
0_41_0,MRSG_MAP,9,3.149,END,0.000
0_54_0,MRSG_MAP,10,3.152,END,0.000
0_56_0,MRSG_MAP,12,3.155,END,0.000
0_57_0,MRSG_MAP,13,3.157,END,0.000
0_58_0,MRSG_MAP,14,3.160,END,0.000
0_47_0,MRSG_MAP,15,3.162,END,0.000
0_48_0,MRSG_MAP,16,3.165,END,0.000
0_61_0,MRSG_MAP,17,3.168,END,0.000
0_62_0,MRSG_MAP,18,3.170,END,0.000
0_51_0,MRSG_MAP,19,3.173,END,0.000
0_52_0,MRSG_MAP,20,3.175,END,0.000
0_65_0,MRSG_MAP,21,3.178,END,0.000
0_55_0,MRSG_MAP,23,3.181,END,0.000
0_68_0,MRSG_MAP,24,3.183,END,0.000
0_69_0,MRSG_MAP,25,3.186,END,0.000
0_64_0,MRSG_MAP,0,6.004,START,
1_0_0,MRSG_REDUCE,0,6.005,START,
0_75_0,MRSG_MAP,11,6.008,START,
1_1_0,MRSG_REDUCE,11,6.009,START,
0_66_0,MRSG_MAP,22,6.012,START,
1_2_0,MRSG_REDUCE,22,6.013,START,
0_70_0,MRSG_MAP,26,6.016,START,
1_3_0,MRSG_REDUCE,26,6.017,START,
0_59_0,MRSG_MAP,27,6.020,START,
1_4_0,MRSG_REDUCE,27,6.021,START,
0_60_0,MRSG_MAP,28,6.023,START,
1_5_0,MRSG_REDUCE,28,6.025,START,
0_73_0,MRSG_MAP,29,6.027,START,
1_6_0,MRSG_REDUCE,29,6.029,START,
0_74_0,MRSG_MAP,30,6.031,START,
1_7_0,MRSG_REDUCE,30,6.033,START,
0_63_0,MRSG_MAP,31,6.035,START,
1_8_0,MRSG_REDUCE,31,6.036,START,
0_77_0,MRSG_MAP,1,6.039,START,
1_9_0,MRSG_REDUCE,1,6.040,START,
0_78_0,MRSG_MAP,2,6.043,START,
1_10_0,MRSG_REDUCE,2,6.044,START,
0_67_0,MRSG_MAP,3,6.047,START,
1_11_0,MRSG_REDUCE,3,6.048,START,
0_80_0,MRSG_MAP,4,6.051,START,
1_12_0,MRSG_REDUCE,4,6.052,START,
0_81_0,MRSG_MAP,5,6.055,START,
1_13_0,MRSG_REDUCE,5,6.056,START,
0_82_0,MRSG_MAP,6,6.059,START,
1_14_0,MRSG_REDUCE,6,6.060,START,
0_71_0,MRSG_MAP,7,6.062,START,
1_15_0,MRSG_REDUCE,7,6.064,START,
0_72_0,MRSG_MAP,8,6.066,START,
1_16_0,MRSG_REDUCE,8,6.068,START,
0_85_0,MRSG_MAP,9,6.070,START,
1_17_0,MRSG_REDUCE,9,6.072,START,
0_86_0,MRSG_MAP,10,6.074,START,
1_18_0,MRSG_REDUCE,10,6.075,START,
0_76_0,MRSG_MAP,12,6.078,START,
1_19_0,MRSG_REDUCE,12,6.079,START,
0_89_0,MRSG_MAP,13,6.082,START,
1_20_0,MRSG_REDUCE,13,6.083,START,
0_90_0,MRSG_MAP,14,6.086,START,
1_21_0,MRSG_REDUCE,14,6.087,START,
0_79_0,MRSG_MAP,15,6.090,START,
1_22_0,MRSG_REDUCE,15,6.091,START,
0_92_0,MRSG_MAP,16,6.094,START,
1_23_0,MRSG_REDUCE,16,6.095,START,
0_93_0,MRSG_MAP,17,6.098,START,
1_24_0,MRSG_REDUCE,17,6.099,START,
0_94_0,MRSG_MAP,18,6.101,START,
1_25_0,MRSG_REDUCE,18,6.103,START,
0_83_0,MRSG_MAP,19,6.105,START,
1_26_0,MRSG_REDUCE,19,6.107,START,
0_84_0,MRSG_MAP,20,6.109,START,
1_27_0,MRSG_REDUCE,20,6.111,START,
0_97_0,MRSG_MAP,21,6.113,START,
1_28_0,MRSG_REDUCE,21,6.114,START,
0_87_0,MRSG_MAP,23,6.117,START,
1_29_0,MRSG_REDUCE,23,6.118,START,
0_88_0,MRSG_MAP,24,6.121,START,
1_30_0,MRSG_REDUCE,24,6.122,START,
0_101_0,MRSG_MAP,25,6.125,START,
1_31_0,MRSG_REDUCE,25,6.126,START,
0_64_0,MRSG_MAP,0,6.129,END,0.000
0_75_0,MRSG_MAP,11,6.130,END,0.000
0_66_0,MRSG_MAP,22,6.131,END,0.000
0_70_0,MRSG_MAP,26,6.133,END,0.000
0_59_0,MRSG_MAP,27,6.134,END,0.000
0_60_0,MRSG_MAP,28,6.135,END,0.000
0_73_0,MRSG_MAP,29,6.137,END,0.000
0_74_0,MRSG_MAP,30,6.138,END,0.000
0_63_0,MRSG_MAP,31,6.139,END,0.000
0_77_0,MRSG_MAP,1,6.142,END,0.000
0_78_0,MRSG_MAP,2,6.146,END,0.000
0_67_0,MRSG_MAP,3,6.149,END,0.000
0_80_0,MRSG_MAP,4,6.153,END,0.000
0_81_0,MRSG_MAP,5,6.157,END,0.000
0_82_0,MRSG_MAP,6,6.161,END,0.000
0_71_0,MRSG_MAP,7,6.165,END,0.000
0_72_0,MRSG_MAP,8,6.169,END,0.000
0_85_0,MRSG_MAP,9,6.173,END,0.000
0_86_0,MRSG_MAP,10,6.177,END,0.000
0_76_0,MRSG_MAP,12,6.181,END,0.000
0_89_0,MRSG_MAP,13,6.185,END,0.000
0_90_0,MRSG_MAP,14,6.188,END,0.000
0_79_0,MRSG_MAP,15,6.192,END,0.000
0_92_0,MRSG_MAP,16,6.196,END,0.000
0_93_0,MRSG_MAP,17,6.200,END,0.000
0_94_0,MRSG_MAP,18,6.204,END,0.000
0_83_0,MRSG_MAP,19,6.208,END,0.000
0_84_0,MRSG_MAP,20,6.212,END,0.000
0_97_0,MRSG_MAP,21,6.216,END,0.000
0_87_0,MRSG_MAP,23,6.220,END,0.000
0_88_0,MRSG_MAP,24,6.224,END,0.000
0_101_0,MRSG_MAP,25,6.227,END,0.000
0_96_0,MRSG_MAP,0,9.005,START,
1_32_0,MRSG_REDUCE,0,9.007,START,
0_107_0,MRSG_MAP,11,9.009,START,
1_33_0,MRSG_REDUCE,11,9.010,START,
0_98_0,MRSG_MAP,22,9.013,START,
1_34_0,MRSG_REDUCE,22,9.014,START,
0_102_0,MRSG_MAP,26,9.017,START,
1_35_0,MRSG_REDUCE,26,9.018,START,
0_91_0,MRSG_MAP,27,9.021,START,
1_36_0,MRSG_REDUCE,27,9.022,START,
0_104_0,MRSG_MAP,28,9.025,START,
1_37_0,MRSG_REDUCE,28,9.026,START,
0_105_0,MRSG_MAP,29,9.029,START,
1_38_0,MRSG_REDUCE,29,9.030,START,
0_106_0,MRSG_MAP,30,9.033,START,
1_39_0,MRSG_REDUCE,30,9.034,START,
0_95_0,MRSG_MAP,31,9.036,START,
1_40_0,MRSG_REDUCE,31,9.038,START,
0_109_0,MRSG_MAP,1,9.040,START,
1_41_0,MRSG_REDUCE,1,9.042,START,
0_110_0,MRSG_MAP,2,9.044,START,
1_42_0,MRSG_REDUCE,2,9.046,START,
0_99_0,MRSG_MAP,3,9.048,START,
1_43_0,MRSG_REDUCE,3,9.049,START,
0_100_0,MRSG_MAP,4,9.052,START,
1_44_0,MRSG_REDUCE,4,9.053,START,
0_113_0,MRSG_MAP,5,9.056,START,
1_45_0,MRSG_REDUCE,5,9.057,START,
0_114_0,MRSG_MAP,6,9.060,START,
1_46_0,MRSG_REDUCE,6,9.061,START,
0_103_0,MRSG_MAP,7,9.064,START,
1_47_0,MRSG_REDUCE,7,9.065,START,
0_116_0,MRSG_MAP,8,9.068,START,
1_48_0,MRSG_REDUCE,8,9.069,START,
0_117_0,MRSG_MAP,9,9.072,START,
1_49_0,MRSG_REDUCE,9,9.073,START,
0_118_0,MRSG_MAP,10,9.075,START,
1_50_0,MRSG_REDUCE,10,9.077,START,
0_108_0,MRSG_MAP,12,9.079,START,
1_51_0,MRSG_REDUCE,12,9.081,START,
0_121_0,MRSG_MAP,13,9.083,START,
1_52_0,MRSG_REDUCE,13,9.085,START,
0_122_0,MRSG_MAP,14,9.087,START,
1_53_0,MRSG_REDUCE,14,9.088,START,
0_111_0,MRSG_MAP,15,9.091,START,
1_54_0,MRSG_REDUCE,15,9.092,START,
0_112_0,MRSG_MAP,16,9.095,START,
1_55_0,MRSG_REDUCE,16,9.096,START,
0_125_0,MRSG_MAP,17,9.099,START,
1_56_0,MRSG_REDUCE,17,9.100,START,
0_126_0,MRSG_MAP,18,9.103,START,
1_57_0,MRSG_REDUCE,18,9.104,START,
0_115_0,MRSG_MAP,19,9.107,START,
1_58_0,MRSG_REDUCE,19,9.108,START,
0_96_0,MRSG_MAP,0,9.111,END,0.000
0_128_0,MRSG_MAP,20,9.112,START,
1_59_0,MRSG_REDUCE,20,9.113,START,
0_107_0,MRSG_MAP,11,9.116,END,0.000
0_129_0,MRSG_MAP,21,9.117,START,
1_60_0,MRSG_REDUCE,21,9.118,START,
0_98_0,MRSG_MAP,22,9.121,END,0.000
0_119_0,MRSG_MAP,23,9.122,START,
1_61_0,MRSG_REDUCE,23,9.124,START,
0_102_0,MRSG_MAP,26,9.126,END,0.000
0_120_0,MRSG_MAP,24,9.127,START,
1_62_0,MRSG_REDUCE,24,9.129,START,
0_91_0,MRSG_MAP,27,9.131,END,0.000
0_133_0,MRSG_MAP,25,9.133,START,
1_63_0,MRSG_REDUCE,25,9.134,START,
0_104_0,MRSG_MAP,28,9.137,END,0.000
0_105_0,MRSG_MAP,29,9.138,END,0.000
0_106_0,MRSG_MAP,30,9.139,END,0.000
0_95_0,MRSG_MAP,31,9.141,END,0.000
0_109_0,MRSG_MAP,1,9.143,END,0.000
0_110_0,MRSG_MAP,2,9.147,END,0.000
0_99_0,MRSG_MAP,3,9.151,END,0.000
0_100_0,MRSG_MAP,4,9.155,END,0.000
0_113_0,MRSG_MAP,5,9.159,END,0.000
0_114_0,MRSG_MAP,6,9.162,END,0.000
0_103_0,MRSG_MAP,7,9.166,END,0.000
0_116_0,MRSG_MAP,8,9.170,END,0.000
0_117_0,MRSG_MAP,9,9.174,END,0.000
0_118_0,MRSG_MAP,10,9.178,END,0.000
0_108_0,MRSG_MAP,12,9.182,END,0.000
0_121_0,MRSG_MAP,13,9.186,END,0.000
0_122_0,MRSG_MAP,14,9.190,END,0.000
0_111_0,MRSG_MAP,15,9.194,END,0.000
0_112_0,MRSG_MAP,16,9.198,END,0.000
0_125_0,MRSG_MAP,17,9.201,END,0.000
0_126_0,MRSG_MAP,18,9.205,END,0.000
0_115_0,MRSG_MAP,19,9.209,END,0.000
0_128_0,MRSG_MAP,20,9.214,END,0.000
0_129_0,MRSG_MAP,21,9.220,END,0.000
0_119_0,MRSG_MAP,23,9.225,END,0.000
0_120_0,MRSG_MAP,24,9.230,END,0.000
0_133_0,MRSG_MAP,25,9.235,END,0.000
0_140_0,MRSG_MAP,0,12.007,START,
0_139_0,MRSG_MAP,11,12.010,START,
0_130_0,MRSG_MAP,22,12.014,START,
0_134_0,MRSG_MAP,26,12.018,START,
0_123_0,MRSG_MAP,27,12.022,START,
0_124_0,MRSG_MAP,28,12.026,START,
0_137_0,MRSG_MAP,29,12.030,START,
0_138_0,MRSG_MAP,30,12.034,START,
0_127_0,MRSG_MAP,31,12.038,START,
0_141_0,MRSG_MAP,1,12.042,START,
0_142_0,MRSG_MAP,2,12.046,START,
0_131_0,MRSG_MAP,3,12.049,START,
0_132_0,MRSG_MAP,4,12.053,START,
0_145_0,MRSG_MAP,5,12.057,START,
0_146_0,MRSG_MAP,6,12.061,START,
0_135_0,MRSG_MAP,7,12.065,START,
0_136_0,MRSG_MAP,8,12.069,START,
0_149_0,MRSG_MAP,9,12.073,START,
0_150_0,MRSG_MAP,10,12.077,START,
0_152_0,MRSG_MAP,12,12.081,START,
0_153_0,MRSG_MAP,13,12.085,START,
0_154_0,MRSG_MAP,14,12.088,START,
0_143_0,MRSG_MAP,15,12.092,START,
0_144_0,MRSG_MAP,16,12.096,START,
0_157_0,MRSG_MAP,17,12.100,START,
0_158_0,MRSG_MAP,18,12.104,START,
0_147_0,MRSG_MAP,19,12.108,START,
0_140_0,MRSG_MAP,0,12.111,END,0.000
0_139_0,MRSG_MAP,11,12.113,END,0.000
0_148_0,MRSG_MAP,20,12.114,START,
0_130_0,MRSG_MAP,22,12.117,END,0.000
0_161_0,MRSG_MAP,21,12.118,START,
0_134_0,MRSG_MAP,26,12.121,END,0.000
0_151_0,MRSG_MAP,23,12.124,START,
0_123_0,MRSG_MAP,27,12.126,END,0.000
0_124_0,MRSG_MAP,28,12.129,END,0.000
0_164_0,MRSG_MAP,24,12.130,START,
0_137_0,MRSG_MAP,29,12.133,END,0.000
0_165_0,MRSG_MAP,25,12.134,START,
0_138_0,MRSG_MAP,30,12.137,END,0.000
0_127_0,MRSG_MAP,31,12.140,END,0.000
0_141_0,MRSG_MAP,1,12.144,END,0.000
0_142_0,MRSG_MAP,2,12.148,END,0.000
0_131_0,MRSG_MAP,3,12.152,END,0.000
0_132_0,MRSG_MAP,4,12.156,END,0.000
0_145_0,MRSG_MAP,5,12.160,END,0.000
0_146_0,MRSG_MAP,6,12.164,END,0.000
0_135_0,MRSG_MAP,7,12.168,END,0.000
0_136_0,MRSG_MAP,8,12.172,END,0.000
0_149_0,MRSG_MAP,9,12.175,END,0.000
0_150_0,MRSG_MAP,10,12.179,END,0.000
0_152_0,MRSG_MAP,12,12.183,END,0.000
0_153_0,MRSG_MAP,13,12.187,END,0.000
0_154_0,MRSG_MAP,14,12.191,END,0.000
0_143_0,MRSG_MAP,15,12.195,END,0.000
0_144_0,MRSG_MAP,16,12.199,END,0.000
0_157_0,MRSG_MAP,17,12.203,END,0.000
0_158_0,MRSG_MAP,18,12.207,END,0.000
0_147_0,MRSG_MAP,19,12.211,END,0.000
0_148_0,MRSG_MAP,20,12.217,END,0.000
0_161_0,MRSG_MAP,21,12.221,END,0.000
0_151_0,MRSG_MAP,23,12.226,END,0.000
0_164_0,MRSG_MAP,24,12.233,END,0.000
0_165_0,MRSG_MAP,25,12.237,END,0.000
0_160_0,MRSG_MAP,0,15.008,START,
0_171_0,MRSG_MAP,11,15.012,START,
0_162_0,MRSG_MAP,22,15.016,START,
0_166_0,MRSG_MAP,26,15.020,START,
0_155_0,MRSG_MAP,27,15.023,START,
0_156_0,MRSG_MAP,28,15.027,START,
0_169_0,MRSG_MAP,29,15.031,START,
0_170_0,MRSG_MAP,30,15.035,START,
0_159_0,MRSG_MAP,31,15.039,START,
0_173_0,MRSG_MAP,1,15.043,START,
0_174_0,MRSG_MAP,2,15.047,START,
0_163_0,MRSG_MAP,3,15.051,START,
0_176_0,MRSG_MAP,4,15.055,START,
0_177_0,MRSG_MAP,5,15.059,START,
0_178_0,MRSG_MAP,6,15.062,START,
0_167_0,MRSG_MAP,7,15.066,START,
0_168_0,MRSG_MAP,8,15.070,START,
0_181_0,MRSG_MAP,9,15.074,START,
0_182_0,MRSG_MAP,10,15.078,START,
0_172_0,MRSG_MAP,12,15.082,START,
0_185_0,MRSG_MAP,13,15.086,START,
0_186_0,MRSG_MAP,14,15.090,START,
0_175_0,MRSG_MAP,15,15.094,START,
0_188_0,MRSG_MAP,16,15.098,START,
0_189_0,MRSG_MAP,17,15.101,START,
0_190_0,MRSG_MAP,18,15.105,START,
0_179_0,MRSG_MAP,19,15.109,START,
0_160_0,MRSG_MAP,0,15.112,END,0.000
0_171_0,MRSG_MAP,11,15.114,END,0.000
0_180_0,MRSG_MAP,20,15.116,START,
0_162_0,MRSG_MAP,22,15.118,END,0.000
0_193_0,MRSG_MAP,21,15.120,START,
0_166_0,MRSG_MAP,26,15.122,END,0.000
0_183_0,MRSG_MAP,23,15.125,START,
0_155_0,MRSG_MAP,27,15.127,END,0.000
0_156_0,MRSG_MAP,28,15.130,END,0.000
0_184_0,MRSG_MAP,24,15.131,START,
0_169_0,MRSG_MAP,29,15.134,END,0.000
0_197_0,MRSG_MAP,25,15.135,START,
0_170_0,MRSG_MAP,30,15.138,END,0.000
0_159_0,MRSG_MAP,31,15.142,END,0.000
0_173_0,MRSG_MAP,1,15.146,END,0.000
0_174_0,MRSG_MAP,2,15.149,END,0.000
0_163_0,MRSG_MAP,3,15.153,END,0.000
0_176_0,MRSG_MAP,4,15.157,END,0.000
0_177_0,MRSG_MAP,5,15.161,END,0.000
0_178_0,MRSG_MAP,6,15.165,END,0.000
0_167_0,MRSG_MAP,7,15.169,END,0.000
0_168_0,MRSG_MAP,8,15.173,END,0.000
0_181_0,MRSG_MAP,9,15.177,END,0.000
0_182_0,MRSG_MAP,10,15.181,END,0.000
0_172_0,MRSG_MAP,12,15.185,END,0.000
0_185_0,MRSG_MAP,13,15.188,END,0.000
0_186_0,MRSG_MAP,14,15.192,END,0.000
0_175_0,MRSG_MAP,15,15.196,END,0.000
0_188_0,MRSG_MAP,16,15.200,END,0.000
0_189_0,MRSG_MAP,17,15.204,END,0.000
0_190_0,MRSG_MAP,18,15.208,END,0.000
0_179_0,MRSG_MAP,19,15.212,END,0.000
0_180_0,MRSG_MAP,20,15.218,END,0.000
0_193_0,MRSG_MAP,21,15.222,END,0.000
0_183_0,MRSG_MAP,23,15.227,END,0.000
0_184_0,MRSG_MAP,24,15.234,END,0.000
0_197_0,MRSG_MAP,25,15.238,END,0.000
0_192_0,MRSG_MAP,0,18.009,START,
0_203_0,MRSG_MAP,11,18.013,START,
0_194_0,MRSG_MAP,22,18.017,START,
0_198_0,MRSG_MAP,26,18.021,START,
0_187_0,MRSG_MAP,27,18.025,START,
0_200_0,MRSG_MAP,28,18.029,START,
0_201_0,MRSG_MAP,29,18.033,START,
0_202_0,MRSG_MAP,30,18.036,START,
0_191_0,MRSG_MAP,31,18.040,START,
0_205_0,MRSG_MAP,1,18.044,START,
0_206_0,MRSG_MAP,2,18.048,START,
0_195_0,MRSG_MAP,3,18.052,START,
0_196_0,MRSG_MAP,4,18.056,START,
0_209_0,MRSG_MAP,5,18.060,START,
0_210_0,MRSG_MAP,6,18.064,START,
0_199_0,MRSG_MAP,7,18.068,START,
0_212_0,MRSG_MAP,8,18.072,START,
0_213_0,MRSG_MAP,9,18.075,START,
0_214_0,MRSG_MAP,10,18.079,START,
0_204_0,MRSG_MAP,12,18.083,START,
0_217_0,MRSG_MAP,13,18.087,START,
0_218_0,MRSG_MAP,14,18.091,START,
0_207_0,MRSG_MAP,15,18.095,START,
0_208_0,MRSG_MAP,16,18.099,START,
0_221_0,MRSG_MAP,17,18.103,START,
0_222_0,MRSG_MAP,18,18.107,START,
0_211_0,MRSG_MAP,19,18.111,START,
0_192_0,MRSG_MAP,0,18.113,END,0.000
0_203_0,MRSG_MAP,11,18.116,END,0.000
0_224_0,MRSG_MAP,20,18.117,START,
0_194_0,MRSG_MAP,22,18.120,END,0.000
0_225_0,MRSG_MAP,21,18.121,START,
0_198_0,MRSG_MAP,26,18.124,END,0.000
0_215_0,MRSG_MAP,23,18.126,START,
0_187_0,MRSG_MAP,27,18.129,END,0.000
0_200_0,MRSG_MAP,28,18.131,END,0.000
0_216_0,MRSG_MAP,24,18.133,START,
0_201_0,MRSG_MAP,29,18.135,END,0.000
0_229_0,MRSG_MAP,25,18.137,START,
0_202_0,MRSG_MAP,30,18.139,END,0.000
0_191_0,MRSG_MAP,31,18.143,END,0.000
0_205_0,MRSG_MAP,1,18.147,END,0.000
0_206_0,MRSG_MAP,2,18.151,END,0.000
0_195_0,MRSG_MAP,3,18.155,END,0.000
0_196_0,MRSG_MAP,4,18.159,END,0.000
0_209_0,MRSG_MAP,5,18.162,END,0.000
0_210_0,MRSG_MAP,6,18.166,END,0.000
0_199_0,MRSG_MAP,7,18.170,END,0.000
0_212_0,MRSG_MAP,8,18.174,END,0.000
0_213_0,MRSG_MAP,9,18.178,END,0.000
0_214_0,MRSG_MAP,10,18.182,END,0.000
0_204_0,MRSG_MAP,12,18.186,END,0.000
0_217_0,MRSG_MAP,13,18.190,END,0.000
0_218_0,MRSG_MAP,14,18.194,END,0.000
0_207_0,MRSG_MAP,15,18.198,END,0.000
0_208_0,MRSG_MAP,16,18.201,END,0.000
0_221_0,MRSG_MAP,17,18.205,END,0.000
0_222_0,MRSG_MAP,18,18.209,END,0.000
0_211_0,MRSG_MAP,19,18.213,END,0.000
0_224_0,MRSG_MAP,20,18.220,END,0.000
0_225_0,MRSG_MAP,21,18.224,END,0.000
0_215_0,MRSG_MAP,23,18.229,END,0.000
0_216_0,MRSG_MAP,24,18.235,END,0.000
0_229_0,MRSG_MAP,25,18.239,END,0.000
0_236_0,MRSG_MAP,0,21.010,START,
0_235_0,MRSG_MAP,11,21.014,START,
0_226_0,MRSG_MAP,22,21.018,START,
0_230_0,MRSG_MAP,26,21.022,START,
0_219_0,MRSG_MAP,27,21.026,START,
0_220_0,MRSG_MAP,28,21.030,START,
0_233_0,MRSG_MAP,29,21.034,START,
0_234_0,MRSG_MAP,30,21.038,START,
0_223_0,MRSG_MAP,31,21.042,START,
0_237_0,MRSG_MAP,1,21.046,START,
0_238_0,MRSG_MAP,2,21.049,START,
0_227_0,MRSG_MAP,3,21.053,START,
0_228_0,MRSG_MAP,4,21.057,START,
0_241_0,MRSG_MAP,5,21.061,START,
0_242_0,MRSG_MAP,6,21.065,START,
0_231_0,MRSG_MAP,7,21.069,START,
0_232_0,MRSG_MAP,8,21.073,START,
0_245_0,MRSG_MAP,9,21.077,START,
0_246_0,MRSG_MAP,10,21.081,START,
0_248_0,MRSG_MAP,12,21.085,START,
0_249_0,MRSG_MAP,13,21.088,START,
0_250_0,MRSG_MAP,14,21.092,START,
0_239_0,MRSG_MAP,15,21.096,START,
0_240_0,MRSG_MAP,16,21.100,START,
0_253_0,MRSG_MAP,17,21.104,START,
0_254_0,MRSG_MAP,18,21.108,START,
0_243_0,MRSG_MAP,19,21.112,START,
0_236_0,MRSG_MAP,0,21.114,END,0.000
0_235_0,MRSG_MAP,11,21.117,END,0.000
0_244_0,MRSG_MAP,20,21.118,START,
0_226_0,MRSG_MAP,22,21.121,END,0.000
0_257_0,MRSG_MAP,21,21.122,START,
0_230_0,MRSG_MAP,26,21.125,END,0.000
0_247_0,MRSG_MAP,23,21.127,START,
0_219_0,MRSG_MAP,27,21.130,END,0.000
